RupSub,RupEx,RupTerm,RupSubDate,RupExDate,RupTermDate,WaveSub,WaveEx,WaveTerm,WaveSubDate,WaveExDate,WaveTermDate,JobCode
03:33:03,03:33:53,03:39:46,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:39:59,03:40:04,03:43:24,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:39:59,03:40:51,03:43:02,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:39:59,03:40:41,03:43:25,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:39:59,03:40:52,03:48:57,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:40:44,03:43:26,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:40:45,03:42:29,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:40:45,03:43:11,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:40:45,03:42:34,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:40:48,03:42:10,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:40:45,03:42:09,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:40:45,03:42:29,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:40:46,03:42:13,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:40:46,03:42:25,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:41,03:43:38,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:45,03:43:57,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:43,03:45:06,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:49,03:43:02,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:46,03:43:39,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:49,03:43:55,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:49,03:43:23,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:49,03:43:22,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:49,03:43:23,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:49,03:43:12,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:49,03:43:29,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:48,03:43:06,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:46,03:43:04,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:50,03:43:19,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:49,03:42:53,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:41:51,03:43:58,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:18,03:44:07,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:19,03:44:52,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:22,03:44:11,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:34,03:43:57,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:38,03:44:26,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:38,03:45:29,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:37,03:44:11,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:37,03:45:05,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:54,03:47:29,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:37,03:44:37,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:53,03:44:34,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:40,03:44:19,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:45,03:45:31,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:44,03:44:19,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:44,03:44:32,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:44,03:44:44,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:00,03:42:44,03:45:12,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:42:40,03:44:25,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:42:55,03:44:31,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:42:57,03:44:41,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:42:42,03:44:25,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:42:57,03:44:36,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:42:58,03:44:41,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:01,03:44:34,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:06,03:46:11,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:11,03:44:15,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:17,03:45:05,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:15,03:44:31,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:19,03:45:21,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:23,03:45:00,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:28,03:45:41,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:31,03:44:42,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:38,03:45:12,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:38,03:45:47,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:46,03:47:10,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:33,03:45:16,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:34,03:46:03,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:38,03:45:01,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:37,03:46:07,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:43,03:45:09,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:43,03:45:42,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:41,03:45:12,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:43,03:45:16,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:43,03:45:38,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:44,03:46:31,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:40,03:45:42,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:51,03:46:47,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:43:48,03:45:44,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:03,03:46:36,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:06,03:45:44,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:07,03:45:28,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:20,03:46:03,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:15,03:45:40,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:14,03:46:18,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:20,03:46:15,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:24,03:46:15,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:27,03:46:39,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:27,03:46:04,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:32,03:46:15,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:36,03:47:08,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:35,03:46:01,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:53,03:48:57,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:43,03:46:06,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:43,03:46:51,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:43,03:46:50,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:43,03:46:16,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:43,03:46:07,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:43,03:46:40,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:43,03:46:52,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:01,03:44:40,03:46:12,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:02,03:44:49,03:46:47,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:07,03:44:44,03:45:58,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:07,03:44:41,03:46:42,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:08,03:44:43,03:46:35,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:09,03:44:52,03:46:32,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:10,03:44:55,03:47:07,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:10,03:44:41,03:46:55,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:10,03:44:58,03:46:49,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:10,03:44:59,03:47:02,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:10,03:44:50,03:46:11,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:10,03:44:53,03:46:42,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:10,03:45:02,03:47:20,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:10,03:45:10,03:46:22,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:11,03:45:14,03:47:10,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:11,03:45:55,03:48:45,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:11,03:45:11,03:47:09,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
03:40:11,03:45:16,03:46:50,2023-01-27,2023-01-27,2023-01-27,,,,,,,0
